Welcome to the profile statistics browser.
profiling.data% profiling.data% profiling.data% Thu Sep 15 15:37:01 2016    profiling.data

         16958841 function calls (16955127 primitive calls) in 29.129 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        2    0.000    0.000    0.000    0.000 {built-in method POINTER}
      104    0.000    0.000    0.000    0.000 _collections_abc.py:456(__init__)
        1    0.000    0.000    0.002    0.002 _internal.py:6(<module>)
      277    0.000    0.000    0.000    0.000 inspect.py:2147(default)
        1    0.000    0.000    0.001    0.001 context.py:1(<module>)
        1    0.000    0.000    0.001    0.001 npyio.py:1(<module>)
        1    0.000    0.000    0.001    0.001 __init__.py:86(<module>)
        1    0.000    0.000    0.004    0.004 subprocess.py:345(<module>)
       21    0.000    0.000    0.003    0.000 decorators.py:10(not_implemented_for)
       46    0.000    0.000    0.000    0.000 sre_compile.py:545(isstring)
        1    0.000    0.000    0.002    0.002 threading.py:1(<module>)
        1    0.000    0.000    0.001    0.001 linalg.py:10(<module>)
        1    0.000    0.000    0.000    0.000 pickle.py:180(<listcomp>)
       12    0.000    0.000    0.000    0.000 ctypeslib.py:311(prep_simple)
      104    0.000    0.000    0.000    0.000 {built-in method vars}
        3    0.000    0.000    0.001    0.000 warnings.py:32(filterwarnings)
       30    0.000    0.000    0.000    0.000 numerictypes.py:450(_add_array_type)
       72    0.000    0.000    0.000    0.000 numerictypes.py:130(english_lower)
       38    0.000    0.000    0.000    0.000 sre_parse.py:83(closegroup)
        1    0.000    0.000    0.006    0.006 tempfile.py:16(<module>)
      108    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:148(<genexpr>)
        1    0.000    0.000    0.005    0.005 case.py:1(<module>)
        6    0.000    0.000    0.000    0.000 core.py:1052(__init__)
        1    0.000    0.000    0.003    0.003 laguerre.py:59(<module>)
        7    0.000    0.000    0.000    0.000 functools.py:43(update_wrapper)
        2    0.000    0.000    0.002    0.001 __init__.py:2(<module>)
        1    0.000    0.000    0.003    0.003 hermite_e.py:59(<module>)
       22    0.000    0.000    0.004    0.000 decorators.py:131(open_file)
        1    0.000    0.000    0.000    0.000 ast.py:26(<module>)
        1    0.000    0.000    0.006    0.006 decorators.py:198(_open_file)
       13    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:1726(is_package)
        1    0.000    0.000    0.000    0.000 gexf.py:164(GEXF)
        1    0.000    0.000    0.000    0.000 eigenvector.py:3(<module>)
      104    0.000    0.000    0.000    0.000 inspect.py:2468(return_annotation)
        1    0.000    0.000    0.067    0.067 ga.py:3(<module>)
       24    0.000    0.000    0.000    0.000 _weakrefset.py:26(__exit__)
        1    0.000    0.000    0.000    0.000 numerictypes.py:787(_construct_lookups)
        1    0.000    0.000    0.001    0.001 arrayprint.py:5(<module>)
       23    0.000    0.000    0.001    0.000 core.py:5992(__init__)
       43    0.000    0.000    0.000    0.000 _inspect.py:163(<lambda>)
        1    0.000    0.000    0.020    0.020 misc.py:10(<module>)
        1    0.000    0.000    0.000    0.000 decorators.py:1(<module>)
       82    0.000    0.000    0.000    0.000 _decorator3.py:96(<lambda>)
        1    0.000    0.000    0.000    0.000 defchararray.py:17(<module>)
        1    0.000    0.000    0.002    0.002 polynomial.py:4(<module>)
        1    0.000    0.000    0.000    0.000 pickle.py:974(_Unpickler)
        1    0.000    0.000    0.000    0.000 format.py:136(<module>)
    62/43    0.000    0.000    0.000    0.000 {built-in method issubclass}
        1    0.000    0.000    0.000    0.000 numerictypes.py:435(_construct_char_code_lookup)
        1    0.000    0.000    0.003    0.003 chebyshev.py:87(<module>)
        1    0.000    0.000    0.020    0.020 type_check.py:3(<module>)
